mol_name	low_rmsd_mcs_coverage	n_low_rmsd_mcs_atoms	mol_size	color_overlap
A71EV2A-x4390a_seed_1449838082_sample_5_model_LIG0-0-C-lig.sdf	0.5	10	20	0.75
A71EV2A-x4390a_seed_1449838082_sample_2_model_LIG0-0-C-lig.sdf	0.0	0	20	0.65
A71EV2A-x4390a_seed_1449838082_sample_4_model_LIG0-0-C-lig.sdf	0.0	0	20	0.85
A71EV2A-x4390a_seed_1449838082_sample_1_model_LIG0-0-C-lig.sdf	0.0	0	20	0.85
A71EV2A-x4390a_seed_1449838082_sample_3_model_LIG0-0-C-lig.sdf	0.0	0	20	0.8
A71EV2A-x4390a_seed_1880307061_sample_3_model_LIG0-0-C-lig.sdf	0.45	9	20	0.75
A71EV2A-x4390a_seed_1880307061_sample_1_model_LIG0-0-C-lig.sdf	0.45	9	20	0.9
A71EV2A-x4390a_seed_1880307061_sample_4_model_LIG0-0-C-lig.sdf	0.45	9	20	0.85
A71EV2A-x4390a_seed_1880307061_sample_5_model_LIG0-0-C-lig.sdf	0.45	9	20	0.85
A71EV2A-x4390a_seed_1880307061_sample_2_model_LIG0-0-C-lig.sdf	0.45	9	20	0.85
A71EV2A-x4390a_seed_1370180479_sample_2_model_LIG0-0-C-lig.sdf	0.45	9	20	0.8
A71EV2A-x4390a_seed_1370180479_sample_1_model_LIG0-0-C-lig.sdf	0.0	0	20	0.75
A71EV2A-x4390a_seed_1370180479_sample_4_model_LIG0-0-C-lig.sdf	0.45	9	20	0.85
A71EV2A-x4390a_seed_1370180479_sample_5_model_LIG0-0-C-lig.sdf	0.35	7	20	0.75
A71EV2A-x4390a_seed_1370180479_sample_3_model_LIG0-0-C-lig.sdf	0.0	0	20	0.7
A71EV2A-x4390a_seed_1832854922_sample_4_model_LIG0-0-C-lig.sdf	0.55	11	20	0.8
A71EV2A-x4390a_seed_1832854922_sample_2_model_LIG0-0-C-lig.sdf	0.45	9	20	0.85
A71EV2A-x4390a_seed_1832854922_sample_5_model_LIG0-0-C-lig.sdf	0.45	9	20	0.85
A71EV2A-x4390a_seed_1832854922_sample_3_model_LIG0-0-C-lig.sdf	0.0	0	20	0.85
A71EV2A-x4390a_seed_1832854922_sample_1_model_LIG0-0-C-lig.sdf	0.0	0	20	0.7
A71EV2A-x6035a_seed_1449838082_sample_3_model_LIG0-0-C-lig.sdf	0.0	0	30	0.3023255813953488
A71EV2A-x6035a_seed_1449838082_sample_4_model_LIG0-0-C-lig.sdf	0.0	0	30	0.3953488372093023
A71EV2A-x6035a_seed_1449838082_sample_2_model_LIG0-0-C-lig.sdf	0.0	0	30	0.3023255813953488
A71EV2A-x6035a_seed_1449838082_sample_5_model_LIG0-0-C-lig.sdf	0.0	0	30	0.5348837209302325
A71EV2A-x6035a_seed_1449838082_sample_1_model_LIG0-0-C-lig.sdf	0.0	0	30	0.0
A71EV2A-x6035a_seed_1880307061_sample_4_model_LIG0-0-C-lig.sdf	0.0	0	30	0.3023255813953488
A71EV2A-x6035a_seed_1880307061_sample_3_model_LIG0-0-C-lig.sdf	0.0	0	30	0.20930232558139536
A71EV2A-x6035a_seed_1880307061_sample_1_model_LIG0-0-C-lig.sdf	0.0	0	30	0.6511627906976745
A71EV2A-x6035a_seed_1880307061_sample_5_model_LIG0-0-C-lig.sdf	0.0	0	30	0.23255813953488372
A71EV2A-x6035a_seed_1880307061_sample_2_model_LIG0-0-C-lig.sdf	0.0	0	30	0.32558139534883723
A71EV2A-x6035a_seed_1370180479_sample_5_model_LIG0-0-C-lig.sdf	0.0	0	30	0.27906976744186046
A71EV2A-x6035a_seed_1370180479_sample_1_model_LIG0-0-C-lig.sdf	0.0	0	30	0.27906976744186046
A71EV2A-x6035a_seed_1370180479_sample_3_model_LIG0-0-C-lig.sdf	0.0	0	30	0.32558139534883723
A71EV2A-x6035a_seed_1370180479_sample_4_model_LIG0-0-C-lig.sdf	0.0	0	30	0.5116279069767442
A71EV2A-x6035a_seed_1370180479_sample_2_model_LIG0-0-C-lig.sdf	0.0	0	30	0.6511627906976745
A71EV2A-x6035a_seed_1832854922_sample_4_model_LIG0-0-C-lig.sdf	0.0	0	30	0.18604651162790697
A71EV2A-x6035a_seed_1832854922_sample_3_model_LIG0-0-C-lig.sdf	0.0	0	30	0.6976744186046512
A71EV2A-x6035a_seed_1832854922_sample_5_model_LIG0-0-C-lig.sdf	0.0	0	30	0.627906976744186
A71EV2A-x6035a_seed_1832854922_sample_2_model_LIG0-0-C-lig.sdf	0.0	0	30	0.5813953488372093
A71EV2A-x6035a_seed_1832854922_sample_1_model_LIG0-0-C-lig.sdf	0.0	0	30	0.46511627906976744
A71EV2A-x6035a_seed_2012026466_sample_3_model_LIG0-0-C-lig.sdf	0.0	0	30	0.5813953488372093
A71EV2A-x6035a_seed_2012026466_sample_4_model_LIG0-0-C-lig.sdf	0.0	0	30	0.06976744186046512
A71EV2A-x6035a_seed_2012026466_sample_1_model_LIG0-0-C-lig.sdf	0.0	0	30	0.13953488372093023
A71EV2A-x6035a_seed_2012026466_sample_5_model_LIG0-0-C-lig.sdf	0.0	0	30	0.5116279069767442
A71EV2A-x6035a_seed_2012026466_sample_2_model_LIG0-0-C-lig.sdf	0.0	0	30	0.5348837209302325